"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-04-17","0.04","0.0","0.0","50","56","46"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-04-18","2.32","0.0","0.0","58","76","46"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-04-19","0.67","0.0","0.0","46","59","35"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-04-20","0.00","0.0","0.0","37","44","31"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-04-21","0.00","0.0","0.0","38","51","26"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-04-22","0.00","0.0","0.0","45","65","29"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-04-23","0.91","0.0","0.0","54","69","41"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-04-24","0.42","0.0","0.0","45","48","35"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-04-25","0.00","0.0","0.0","42","53","34"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-04-26","0.00","0.0","0.0","45","61","31"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-04-27","0.00","0.0","0.0","53","68","37"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-04-28","0.46","0.0","0.0","57","60","52"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-04-29","0.00","0.0","0.0","59","68","52"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-04-30","0.00","0.0","0.0","63","77","50"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-05-01","0.00","0.0","0.0","68","82","51"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-05-02","0.00","0.0","0.0","68","77","56"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-05-03","0.00","0.0","0.0","68","77","59"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-05-04","0.00","0.0","0.0","65","73","57"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-05-05","0.00","0.0","0.0","61","71","48"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-05-06","0.00","0.0","0.0","62","71","52"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-05-07","0.00","0.0","0.0","65","75","54"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-05-08","0.00","0.0","0.0","65","78","50"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-05-09","0.10","0.0","0.0","66","81","51"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-05-10","0.13","0.0","0.0","64","70","49"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-05-11","0.09","0.0","0.0","50","58","38"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-05-12","0.00","0.0","0.0","44","52","36"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-05-13","0.00","0.0","0.0","48","61","38"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-05-14","0.00","0.0","0.0","62","85","48"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-05-15","0.01","0.0","0.0","77","87","64"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-05-16","0.00","0.0","0.0","71","83","54"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-05-17","0.00","0.0","0.0","67","83","52"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-05-18","0.00","0.0","0.0","66","81","55"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-05-19","0.00","0.0","0.0","71","87","56"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-05-20","0.00","0.0","0.0","77","88","67"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-05-21","0.00","0.0","0.0","77","88","66"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-05-22","0.05","0.0","0.0","72","80","62"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-05-23","0.15","0.0","0.0","61","64","50"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-05-24","0.00","0.0","0.0","53","65","42"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-05-25","0.00","0.0","0.0","55","69","43"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-05-26","0.00","0.0","0.0","59","72","42"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-05-27","1.72","0.0","0.0","58","63","50"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-05-28","0.06","0.0","0.0","68","80","62"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-05-29","0.00","0.0","0.0","76","85","68"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-05-30","0.00","0.0","0.0","76","88","67"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-05-31","0.63","0.0","0.0","73","75","65"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-06-01","0.58","0.0","0.0","69","75","64"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-06-02","0.00","0.0","0.0","66","69","49"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-06-03","0.00","0.0","0.0","57","69","47"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-06-04","0.00","0.0","0.0","61","73","47"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-06-05","0.00","0.0","0.0","65","77","52"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-06-06","0.00","0.0","0.0","64","75","57"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-06-07","0.00","0.0","0.0","64","75","54"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-06-08","0.00","0.0","0.0","64","78","49"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-06-09","0.04","0.0","0.0","72","84","62"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-06-10","0.33","0.0","0.0","71","80","65"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-06-11","0.00","0.0","0.0","71","85","63"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-06-12","1.28","0.0","0.0","75","89","65"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-06-13","0.05","0.0","0.0","72","79","60"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-06-14","0.00","0.0","0.0","67","80","56"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-06-15","0.01","0.0","0.0","69","78","59"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-06-16","0.09","0.0","0.0","71","80","64"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-06-17","0.00","0.0","0.0","75","86","66"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-06-18","0.00","0.0","0.0","72","79","61"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-06-19","0.00","0.0","0.0","66","78","54"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-06-20","0.00","0.0","0.0","70","85","56"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-06-21","0.00","0.0","0.0","76","87","64"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-06-22","0.00","0.0","0.0","79","90","68"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-06-23","0.52","0.0","0.0","77","89","66"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-06-24","0.14","0.0","0.0","75","85","67"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-06-25","0.02","0.0","0.0","77","89","67"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-06-26","0.80","0.0","0.0","74","84","67"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-06-27","0.22","0.0","0.0","76","86","68"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-06-28","0.01","0.0","0.0","73","81","64"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-06-29","1.11","0.0","0.0","68","80","62"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-06-30","0.71","0.0","0.0","66","74","63"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-07-01","0.20","0.0","0.0","66","69","62"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-07-02","0.47","0.0","0.0","65","76","60"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-07-03","0.02","0.0","0.0","71","81","62"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-07-04","0.00","0.0","0.0","71","79","63"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-07-05","0.00","0.0","0.0","73","82","67"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-07-06","0.16","0.0","0.0","73","79","68"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-07-07","0.01","0.0","0.0","72","81","65"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-07-08","0.36","0.0","0.0","75","83","68"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-07-09","0.00","0.0","0.0","79","88","73"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-07-10","1.25","0.0","0.0","78","85","63"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-07-11","0.00","0.0","0.0","70","80","60"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-07-12","0.00","0.0","0.0","70","79","59"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-07-13","0.00","0.0","0.0","71","83","59"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-07-14","0.00","0.0","0.0","76","88","65"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-07-15","0.00","0.0","0.0","80","89","71"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-07-16","0.00","0.0","0.0","82","92","71"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-07-17","0.00","0.0","0.0","82","91","72"
